age,experience_years,daily_work_hours,sleep_hours,caffeine_intake,bugs_per_day,commits_per_day,meetings_per_day,screen_time,exercise_hours,stress_level,burnout_level,work_sleep_ratio,active_hours,bug_commit_ratio,burnout_encoded
0.25,0.631578947368421,0.6330000000000001,0.09000000000000008,0.2857142857142857,0.5789473684210527,0.13793103448275862,0.1111111111111111,0.7186588921282799,0.07,0.5596,Medium,0.6249485243651339,0.5411764705882354,0.014120526315789474,2
0.7916666666666667,0.5263157894736842,0.46199999999999997,0.35399999999999987,0.7142857142857142,0.7894736842105263,0.3793103448275862,0.5555555555555556,0.5860058309037901,0.27,0.8222,High,0.34979409746053536,0.4310924369747899,0.007112631578947368,0
0.5833333333333333,0.6842105263157894,0.4980000000000001,0.006000000000000005,0.7142857142857142,0.10526315789473684,0.6206896551724138,1.0,0.43513119533527694,0.77,0.6177,Medium,0.5920041180507893,0.5453781512605043,0.000581578947368421,2
0.41666666666666674,0.05263157894736842,0.28500000000000003,0.494,0.2857142857142857,0.7894736842105263,0.896551724137931,0.1111111111111111,0.43221574344023334,0.48,0.5498,Medium,0.20363761153054222,0.31764705882352934,0.003024736842105263,2
0.29166666666666674,0.3684210526315789,0.02400000000000002,0.3599999999999999,0.5714285714285714,0.47368421052631576,0.5862068965517241,0.7777777777777777,0.206997084548105,0.18,0.27899999999999997,Low,0.09245024021962939,0.04789915966386549,0.00277,1
0.8333333333333333,0.10526315789473684,0.6250000000000001,0.556,0.0,1.0,0.9310344827586207,0.4444444444444444,0.7244897959183676,0.39,0.5106,Medium,0.3571036376115305,0.588235294117647,0.0036899999999999997,2
0.25,0.5263157894736842,0.253,0.72,0.8571428571428571,0.21052631578947367,0.3793103448275862,1.0,0.30393586005830914,0.27,0.3909,Medium,0.13689087165408376,0.2554621848739496,0.001896842105263158,2
0.75,0.0,0.6689999999999999,0.25,0.7142857142857142,0.631578947368421,0.06896551724137931,0.2222222222222222,0.6829446064139943,0.05,0.7768,High,0.5315374056280028,0.5680672268907563,0.030075263157894733,0
0.9166666666666667,0.9473684210526315,0.747,0.15800000000000003,0.5714285714285714,0.5789473684210527,0.8620689655172413,0.1111111111111111,0.6800291545189505,0.765,0.7356,High,0.6507892930679479,0.753781512605042,0.002306315789473684,0
0.41666666666666674,0.894736842105263,0.916,0.278,0.42857142857142855,0.0,0.10344827586206896,0.3333333333333333,0.6727405247813412,0.29,0.4678,Medium,0.6684625943719973,0.8159663865546218,0.0,2
0.41666666666666674,0.8421052631578947,0.9580000000000001,0.0020000000000000018,0.2857142857142857,1.0,0.48275862068965514,0.7777777777777777,0.6967930029154519,0.945,1.0,High,0.9797185998627316,0.9613445378151262,0.007092105263157894,0
0.9583333333333333,1.0,0.01100000000000001,0.11999999999999988,0.7142857142857142,0.5263157894736842,0.48275862068965514,0.0,0.0284256559766764,0.89,0.2676,Low,0.14595058339052852,0.1563025210084033,0.0037326315789473685,1
0.5,0.631578947368421,0.9900000000000001,0.75,0.8571428571428571,0.9473684210526315,0.3448275862068966,1.0,0.7922740524781342,0.715,1.0,High,0.45350034317089916,0.9495798319327731,0.00938,0
0.125,0.10526315789473684,0.6829999999999999,0.22199999999999998,0.0,0.7368421052631579,0.034482758620689655,0.2222222222222222,0.5583090379008746,0.325,0.8194,High,0.5591969800960879,0.6260504201680672,0.0669857894736842,0
0.29166666666666674,0.0,0.644,0.9940000000000002,0.2857142857142857,0.894736842105263,0.5862068965517241,0.0,0.6661807580174928,0.28,0.4865,Medium,0.24083733699382293,0.5857142857142856,0.005232631578947368,2
0.9583333333333333,0.15789473684210525,0.015000000000000013,0.16799999999999993,1.0,0.7894736842105263,0.06896551724137931,0.1111111111111111,0.20408163265306128,0.475,0.34259999999999996,Low,0.1341455044612217,0.08991596638655458,0.037594210526315786,1
0.08333333333333337,0.631578947368421,0.8610000000000001,0.788,0.7142857142857142,0.3157894736842105,0.5862068965517241,1.0,0.8957725947521866,0.355,0.775,High,0.38407687028140014,0.7806722689075629,0.0018468421052631578,0
0.875,0.8421052631578947,0.14500000000000002,0.7060000000000002,0.42857142857142855,0.47368421052631576,0.4482758620689655,0.6666666666666666,0.18075801749271142,0.9,0.2851,Low,0.09097460535346605,0.27058823529411763,0.0036157894736842107,1
0.8333333333333333,0.5263157894736842,0.8370000000000001,0.32200000000000006,0.5714285714285714,0.7894736842105263,0.1724137931034483,0.0,0.8680758017492713,0.125,0.8520000000000001,High,0.589293067947838,0.7218487394957982,0.015479999999999999,0
0.04166666666666674,0.05263157894736842,0.016000000000000014,0.33000000000000007,0.2857142857142857,0.8421052631578947,0.034482758620689655,0.8888888888888888,0.17492711370262398,0.725,0.5103,Medium,0.0941317776252574,0.13277310924369745,0.07655526315789474,2
0.9583333333333333,0.7894736842105263,0.646,0.5640000000000001,0.7142857142857142,0.3157894736842105,0.0,0.7777777777777777,0.5998542274052479,0.61,0.6445000000000001,Medium,0.36458476321207967,0.6428571428571428,0.3157894736842105,2
0.45833333333333326,0.05263157894736842,0.43499999999999994,0.8520000000000001,0.14285714285714285,0.5263157894736842,0.24137931034482757,0.0,0.4963556851311954,0.805,0.1979,Low,0.18860672614962254,0.4983193277310925,0.007413157894736842,1
0.20833333333333326,0.9473684210526315,0.20099999999999996,0.3859999999999999,0.0,0.8421052631578947,0.3103448275862069,1.0,0.33600583090379016,0.54,0.37070000000000003,Medium,0.18788606726149626,0.25714285714285706,0.009253684210526315,2
0.04166666666666674,0.9473684210526315,0.10799999999999998,0.061999999999999944,0.5714285714285714,0.21052631578947367,0.6551724137931034,0.0,0.11370262390670555,0.63,0.1968,Low,0.2411461908030199,0.19411764705882345,0.0011021052631578947,1
0.8333333333333333,0.7894736842105263,0.44000000000000006,0.3740000000000001,0.2857142857142857,0.0,0.5862068965517241,0.1111111111111111,0.5247813411078719,0.965,0.2768,Low,0.3286890871654084,0.5294117647058822,0.0,1
0.0,0.9473684210526315,0.123,0.20799999999999996,0.7142857142857142,0.10526315789473684,0.6551724137931034,0.1111111111111111,0.28571428571428586,0.09,0.2793,Low,0.19502402196293755,0.11596638655462183,0.0005510526315789474,1
0.45833333333333326,0.42105263157894735,0.486,0.94,0.5714285714285714,0.7894736842105263,0.3448275862068966,0.5555555555555556,0.6297376093294462,0.105,0.46299999999999997,Medium,0.19135209334248454,0.4235294117647059,0.007816315789473685,2
0.875,0.0,0.6250000000000001,0.6980000000000002,0.14285714285714285,0.7368421052631579,0.5862068965517241,0.0,0.7062682215743441,0.395,0.43950000000000006,Medium,0.3092999313658202,0.5890756302521007,0.004308947368421053,2
0.45833333333333326,0.47368421052631576,0.8270000000000001,0.050000000000000044,0.2857142857142857,0.15789473684210525,0.896551724137931,0.3333333333333333,0.7871720116618077,0.475,0.5611,Medium,0.8138297872340425,0.7722689075630251,0.0006047368421052632,2
1.0,0.9473684210526315,0.6789999999999999,0.29200000000000004,1.0,0.5789473684210527,0.5172413793103449,0.6666666666666666,0.6873177842565599,0.2,0.8965000000000001,High,0.5118050789293068,0.6016806722689074,0.00383421052631579,0
0.6666666666666667,0.0,0.06500000000000006,0.050000000000000044,0.5714285714285714,0.0,0.13793103448275862,0.8888888888888888,0.3075801749271137,0.085,0.3884,Medium,0.21269732326698698,0.06638655462184873,0.0,2
0.375,0.05263157894736842,0.30700000000000005,0.8300000000000001,0.2857142857142857,0.8421052631578947,0.20689655172413793,1.0,0.49052478134110794,0.02,0.3543,Medium,0.13994509265614274,0.25882352941176473,0.013805263157894737,2
0.625,0.7894736842105263,0.28800000000000003,0.9059999999999999,1.0,0.7368421052631579,0.48275862068965514,0.2222222222222222,0.4358600583090379,0.765,0.3034,Low,0.119423472889499,0.36806722689075627,0.0052257894736842106,1
0.5833333333333333,0.5789473684210527,0.9150000000000001,0.11199999999999988,0.2857142857142857,1.0,0.034482758620689655,0.3333333333333333,0.8753644314868805,0.485,0.9003,High,0.8142415923129719,0.8478991596638654,0.09090894736842105,0
